TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-2866.0,47.0,81.38,80.99,80.13,83.02,1.49,46.99,47.22,46.03,47.71,47.0,2.09,2.07,2.13,Triangle_4
-2886.0,47.21,81.71,82.1,79.2,83.82,2.33,47.17,46.97,45.95,48.6,47.21,2.1,2.04,2.14,Triangle_4
-2794.5,46.62,80.55,82.93,75.66,83.05,4.23,46.51,45.18,45.1,49.24,46.62,2.15,1.99,2.15,Triangle_4
-2870.5,47.14,81.53,81.1,78.77,84.72,3.0,47.07,47.36,45.2,48.65,47.14,2.09,2.04,2.16,Triangle_4
-2850.0,47.06,81.32,80.61,77.83,85.51,3.89,46.95,47.42,44.47,48.95,47.06,2.08,2.02,2.18,Triangle_4
-2753.0,46.52,80.14,77.9,76.06,86.47,5.56,46.26,47.67,42.46,48.65,46.52,2.05,2.01,2.23,Triangle_4
-2715.0,46.65,80.02,83.24,70.46,86.38,8.43,46.22,44.62,42.59,51.44,46.65,2.17,1.88,2.23,Rectangle_4
-2898.0,47.98,82.48,84.91,73.98,88.54,7.58,47.63,46.45,44.13,52.31,47.98,2.15,1.91,2.22,Rectangle_4
-3040.5,50.93,85.84,82.64,75.17,99.72,12.59,49.51,52.03,40.84,55.68,50.93,2.04,1.88,2.37,Rectangle_4
-3082.0,50.63,85.94,83.67,76.06,98.08,11.18,49.59,51.43,42.1,55.23,50.63,2.06,1.89,2.33,Rectangle_4
-2913.0,49.49,83.87,85.38,70.71,95.52,12.48,48.43,48.26,41.44,55.61,49.49,2.14,1.81,2.33,Rectangle_4
-2846.5,48.45,82.49,83.22,71.4,92.85,10.74,47.63,47.74,41.4,53.74,48.45,2.12,1.85,2.31,Rectangle_4
-3141.0,49.57,85.53,88.57,79.01,89.01,5.65,49.38,47.71,47.43,53.01,49.57,2.16,1.96,2.17,Rectangle_4
-2989.0,48.72,83.72,82.87,77.01,91.27,7.17,48.33,49.05,43.8,52.14,48.72,2.08,1.95,2.25,Rectangle_4
-2915.0,47.72,82.36,83.82,76.66,86.61,5.13,47.55,46.82,45.09,50.75,47.72,2.13,1.97,2.18,Rectangle_4
-3077.0,49.22,84.79,88.02,77.16,89.19,6.63,48.96,47.22,46.49,53.18,49.22,2.16,1.93,2.19,Rectangle_4
-3009.5,48.52,83.71,84.6,77.93,88.6,5.39,48.33,47.95,45.47,51.58,48.52,2.12,1.97,2.2,Rectangle_4
-2943.5,47.85,82.66,83.63,78.01,86.35,4.26,47.73,47.25,45.58,50.35,47.85,2.12,2.0,2.17,Rectangle_4
-1852.5,39.02,66.45,65.07,59.17,75.11,8.06,38.35,39.51,33.05,42.49,39.02,2.07,1.9,2.32,Triangle_3
-1836.5,38.84,66.19,66.53,57.7,74.33,8.32,38.21,38.42,33.31,42.91,38.84,2.11,1.87,2.3,Triangle_3
-1912.5,39.45,67.39,68.01,59.17,75.0,7.93,38.91,38.91,34.37,43.46,39.45,2.12,1.88,2.29,Triangle_3
-1982.0,39.89,68.37,69.03,61.06,75.03,7.01,39.48,39.37,35.52,43.54,39.89,2.12,1.9,2.26,Triangle_3
-1826.0,38.51,65.85,68.59,56.86,72.11,7.99,38.04,36.76,34.44,42.92,38.51,2.17,1.85,2.26,Triangle_3
-1755.5,37.96,64.71,65.86,55.95,72.34,8.26,37.37,37.1,32.83,42.18,37.96,2.13,1.85,2.3,Triangle_3
-2050.0,40.61,69.6,72.11,61.03,75.66,7.63,40.2,39.02,36.7,44.88,40.61,2.16,1.87,2.25,Triangle_3
