@relation features_1_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Circle_4,Rectangle_5,Circle_5,Triangle_4,Triangle_5,Circle_3,Square_5,Square_4,Square_3,Triangle_3,Rectangle_3,Rectangle_4}

@data
-1840,55.72,76.56,65.76,60.03,103.87,23.83,43.42,52.13,23.73,54.39,55.72,1.89,1.7,2.69,Rectangle_3
-1840.5,57.81,77.83,69.84,57.31,106.33,25.47,44.14,51.97,23.61,56.84,57.81,1.99,1.58,2.71,Rectangle_3
-1486.5,34.73,59.38,60.75,51.86,65.55,6.95,34.29,33.8,30.66,38.42,34.73,2.14,1.87,2.27,Triangle_3
-1560,35.87,61.15,65.15,51.22,67.08,8.65,35.34,33.34,32.03,40.64,35.87,2.22,1.8,2.27,Triangle_3
-2209.5,41.39,71.56,71.59,68.54,74.55,3,41.31,41.35,39.57,43.03,41.39,2.1,2.02,2.17,Triangle_4
-2136,40.68,70.34,69.26,68.35,73.41,2.7,40.61,41.26,38.8,41.77,40.68,2.07,2.05,2.17,Triangle_4
-4113,64.53,103.65,97.67,84.22,129.06,23.01,59.62,64.94,42.96,70.95,64.53,2.02,1.76,2.5,Square_4
-4294,64.1,104.5,93.35,92.1,128.06,20.41,60.12,67.54,44.71,68.11,64.1,1.92,1.89,2.47,Square_4
-4093,62.59,102.26,99.16,82.73,124.9,21.26,58.92,62.41,44.41,69.94,62.59,2.07,1.75,2.47,Square_4
-4194,64.13,104.1,101.18,82.98,128.14,22.72,59.97,63.57,44.5,71.82,64.13,2.08,1.72,2.48,Square_4
-1788.5,40.52,67.45,73.25,50.09,79.01,15.31,39.06,36.72,32.5,47.96,40.52,2.27,1.61,2.4,Triangle_3
-1533,36.89,61.5,58.69,52.8,73,10.39,35.45,37.7,28.16,40.5,36.89,2.03,1.84,2.41,Triangle_3
-1661,38.17,63.84,60.96,55.23,75.33,10.35,36.81,39.06,29.55,41.81,38.17,2.03,1.86,2.4,Triangle_3
-1645.5,37.6,63.24,60.44,55.47,73.82,9.49,36.47,38.59,29.83,41,37.6,2.03,1.88,2.38,Triangle_3
-4144,63.76,104.65,115.38,72.86,125.72,28.01,60.72,56.68,48.8,76.68,63.76,2.31,1.52,2.45,Circle_4
-4300,66.14,107.52,117.32,73.76,131.47,30.08,62.38,59.33,48.45,79.34,66.14,2.3,1.5,2.49,Circle_4
-2109,41.95,71.31,75.33,59.09,79.51,10.79,41.21,39.38,36.53,47.73,41.95,2.2,1.78,2.3,Triangle_4
-1974.5,40.81,69.2,73.11,56.65,77.83,11.12,39.99,38.28,35.04,46.66,40.81,2.21,1.76,2.31,Triangle_4
-2953.5,103.47,111.47,90.14,85.33,158.93,41.17,61.9,79.55,24.84,81.3,103.47,1.8,1.66,2.83,Rectangle_5
-3208.5,95.38,111.39,95.67,81.49,157,40.13,62.37,77.05,27.76,82.3,95.38,1.93,1.56,2.8,Rectangle_5
-6546.5,80.16,130.58,133.54,98.31,159.88,30.89,75.41,76.46,57.19,92.57,80.16,2.17,1.63,2.48,Square_5
-5930,79.09,126.66,131.89,89.94,158.14,34.4,73.22,73.64,53.71,92.33,79.09,2.22,1.54,2.52,Square_5
-2469,44.22,76.05,76.16,69.63,82.35,6.36,43.91,44.05,40.16,47.51,44.22,2.1,1.95,2.24,Triangle_4
-2401,43.33,74.75,74.95,70,79.31,4.66,43.16,43.16,40.48,45.85,43.33,2.1,1.98,2.2,Triangle_4
-5355,79.06,126.21,150.43,72.12,156.08,46.93,73.99,63.68,58.97,99.32,79.06,2.49,1.26,2.54,Circle_5
-5305.5,77.61,124.53,148.22,72.86,152.51,44.8,72.91,62.51,58.97,97.27,77.61,2.48,1.29,2.52,Circle_5
-3471,54.38,91.67,87.13,81.34,106.53,13.19,52.87,56.11,43.55,58.94,54.38,2.02,1.9,2.37,Triangle_5
-3325,54.05,90.33,85.16,79.06,106.78,14.57,52.07,55.83,41.64,58.74,54.05,2.01,1.88,2.4,Triangle_5
-5846,79.86,129.06,153.31,78.29,155.57,43.98,75.43,64.26,62.42,99.6,79.86,2.46,1.33,2.49,Circle_5
-5381.5,78.19,125.54,151.53,73.06,152.03,45.45,73.54,61.41,61,98.21,78.19,2.5,1.28,2.5,Circle_5
-1697,36.85,63.21,63.66,56.8,69.18,6.2,36.5,36.47,32.95,40.07,36.85,2.11,1.91,2.26,Triangle_3
-1647,36.38,62.32,61.62,56.46,68.88,6.24,35.98,36.62,32.02,39.29,36.38,2.08,1.93,2.27,Triangle_3
-1745,37.03,63.8,62.24,60.42,68.73,4.37,36.83,37.82,33.87,38.8,37.03,2.05,2,2.23,Triangle_3
-1688,36.72,62.99,60.84,58.69,69.43,5.68,36.36,37.76,32.44,38.87,36.72,2.04,1.98,2.27,Triangle_3
-1571.5,35.67,61.02,61.81,53.76,67.48,6.89,35.23,35.06,31.39,39.24,35.67,2.12,1.88,2.28,Triangle_3
-1704,37.42,63.85,68.77,53.67,69.12,8.82,36.9,34.29,34.06,42.34,37.42,2.23,1.81,2.24,Triangle_3
-1582,35.17,60.69,61.61,56.44,64.01,3.87,35.04,34.59,33.11,37.42,35.17,2.12,1.97,2.19,Triangle_3
-1370.5,33.2,56.86,55.95,51.66,62.97,5.71,32.82,33.56,29.12,35.78,33.2,2.07,1.93,2.28,Triangle_3
-1188,31.28,53.23,51.42,47.89,60.37,6.44,30.71,32.03,26.31,33.8,31.28,2.04,1.92,2.32,Triangle_3
-1252.5,32.53,54.96,51.97,49.34,63.57,7.57,31.7,33.75,26.31,35.04,32.53,2.01,1.92,2.36,Triangle_3
-1306.5,31.99,55.17,55.8,51.2,58.52,3.7,31.86,31.58,29.9,34.09,31.99,2.12,1.97,2.2,Triangle_3
-1479,34.49,59.08,58.82,53.16,65.25,6.05,34.11,34.49,30.39,37.43,34.49,2.09,1.92,2.27,Triangle_3
-2629,48.44,81.21,89.81,61.29,92.54,17.3,47.03,42.92,40.93,57.25,48.44,2.3,1.64,2.35,Circle_3
-2646,49.11,82.01,92.35,60.22,93.48,18.89,47.54,42.43,41.59,58.6,49.11,2.33,1.6,2.35,Circle_3
-2443.5,47.45,79.07,89.94,57.31,89.96,18.84,45.86,40.37,40.36,56.84,47.45,2.35,1.58,2.35,Circle_3
-2488,47.77,79.66,89.55,58.14,91.3,18.66,46.19,41.38,40.09,57.09,47.77,2.33,1.59,2.36,Circle_3
-2692.5,52.7,85.92,99.05,55.54,103.17,26.39,50.04,44.28,41.02,64.83,52.7,2.4,1.42,2.47,Circle_3
-2824,51.85,85.8,96.26,60.42,100.72,22.09,49.79,45.12,41.75,62.51,51.85,2.34,1.54,2.41,Circle_3
