Participant	FingersCount	TouchArea	SmallestInscribedCircleRadius	MeanPairedDistance	MedianPairedDistance	MinPairedDistance	MaxPairedDistance	SDPairedDistance	MeanCentroidVertexDistance	MedianCentroidVertexDistance	MinCentroidVertexDistance	MaxCentroidVertexDistance	SDCentroidVertexDistance	MeanCircleCenterVertexDistance	MedianCircleCenterVertexDistance	MinCircleCenterVertexDistance	MaxCircleCenterVertexDistance	SDCircleCenterVertexDistance	MeanAngleSuccessiveVertices	MedianAngleSuccessiveVertices	MinAngleSuccessiveVertices	MaxAngleSuccessiveVertices	SDAngleSuccessiveVertices	class
0	3	-2543	71.86	93.14	78.03	72.92	128.47	30.71	52.54	64.6	26.47	66.56	22.6	71.86	71.86	71.86	71.86	0	2.09	1.85	1.7	2.74	0.56	Rectangle_4
0	3	-3096	50.96	86.51	91.08	71.4	97.05	13.42	49.99	48	43.93	58.05	7.27	50.96	50.96	50.96	50.96	0	2.09	2.2	1.78	2.31	0.28	Circle_3
0	3	-3117.5	51	86.67	90.76	72.2	97.05	12.92	50.08	48.33	44.07	57.83	7.04	51	51	51	51	0	2.09	2.19	1.79	2.3	0.27	Circle_3
0	3	-2502.5	71.99	93.02	83.02	67.54	128.5	31.69	52.59	62.59	26.66	68.52	22.65	71.99	71.99	71.99	71.99	0	2.09	1.99	1.55	2.74	0.6	Rectangle_4
0	3	-2602.5	70.27	93.22	82.15	69.64	127.86	30.65	52.77	62.94	27.59	67.78	21.94	70.27	70.27	70.27	70.27	0	2.09	1.95	1.61	2.72	0.57	Rectangle_4
0	3	-1795	53.62	75.34	71.18	53.24	101.61	24.45	42.99	48.59	24.67	55.72	16.27	53.62	53.62	53.62	53.62	0	2.09	2.09	1.51	2.68	0.58	Rectangle_3
0	3	-1779	52.92	74.58	68.88	54.45	100.4	23.5	42.5	48.7	24.35	54.45	15.98	52.92	52.92	52.92	52.92	0	2.09	2.03	1.57	2.68	0.56	Rectangle_3
0	3	-6660	81.67	133.14	144.1	93.06	162.25	35.87	77.18	73.94	60.12	97.48	18.89	81.67	81.67	81.67	81.67	0	2.09	2.28	1.52	2.48	0.5	Circle_5
0	3	-6432	81.51	131.78	141.76	91.01	162.56	36.81	76.38	74.03	58.05	97.05	19.6	81.51	81.51	81.51	81.51	0	2.09	2.28	1.5	2.5	0.52	Circle_5
0	3	-7522.5	80.78	135.47	127.06	120.21	159.14	20.78	78.1	83.93	63.13	87.24	13.07	80.78	80.78	80.78	80.78	0	2.09	2	1.9	2.39	0.26	Square_5
0	3	-7384	80.33	134.53	130	115.31	158.27	21.83	77.58	81.51	62.67	88.57	13.39	80.33	80.33	80.33	80.33	0	2.09	2.05	1.84	2.39	0.28	Square_5
0	3	-5081	65.03	110.32	105	99.69	126.25	14.06	63.64	67.27	53.74	69.92	8.68	65.03	65.03	65.03	65.03	0	2.09	2.02	1.93	2.34	0.22	Square_4
0	3	-4937	64.78	109.32	106.17	95.19	126.59	15.94	63.07	65.74	52.32	71.13	9.68	64.78	64.78	64.78	64.78	0	2.09	2.06	1.87	2.36	0.25	Square_4
0	3	-2189	52.59	79.14	73.06	60.96	103.39	21.86	45.3	51.07	28.71	56.11	14.59	52.59	52.59	52.59	52.59	0	2.09	2.01	1.67	2.61	0.48	Rectangle_3
0	3	-2167	51.52	78.16	70.66	62.2	101.61	20.74	44.73	50.98	28.67	54.53	14.02	51.52	51.52	51.52	51.52	0	2.09	1.96	1.72	2.6	0.45	Rectangle_3
0	3	-4591	64.11	106.6	101.14	91.61	127.06	18.35	61.44	65.7	48.42	70.2	11.5	64.11	64.11	64.11	64.11	0	2.09	2.02	1.85	2.42	0.29	Square_4
0	3	-4517	63.22	105.46	99.7	91.61	125.06	17.45	60.79	65.09	48.33	68.94	10.95	63.22	63.22	63.22	63.22	0	2.09	2.01	1.86	2.41	0.28	Square_4
0	3	-4402.5	80.39	115.32	100.09	91.83	154.03	33.78	65.65	77.67	38.26	81	23.77	80.39	80.39	80.39	80.39	0	2.09	1.9	1.73	2.66	0.49	Rectangle_5
0	3	-4616	81.06	117.42	103.25	92.8	156.2	33.99	66.91	78.43	39.64	82.67	23.71	81.06	81.06	81.06	81.06	0	2.09	1.92	1.71	2.65	0.49	Rectangle_5
0	3	-1672	37.28	63.3	62.23	55.57	72.11	8.32	36.53	37.57	31.13	40.9	4.97	37.28	37.28	37.28	37.28	0	2.09	2.08	1.88	2.33	0.23	Triangle_3
0	3	-1685	38.19	64.1	60.83	56.3	75.17	9.85	36.96	39.36	29.98	41.54	6.14	38.19	38.19	38.19	38.19	0	2.09	2.02	1.88	2.38	0.26	Triangle_3
0	3	-1731.5	37.04	63.69	63.41	58.52	69.12	5.31	36.77	37.1	33.52	39.68	3.09	37.04	37.04	37.04	37.04	0	2.09	2.09	1.95	2.24	0.14	Triangle_3
0	3	-1601	35.19	60.88	61.13	58.69	62.8	2.07	35.15	35.03	34.03	36.39	1.19	35.19	35.19	35.19	35.19	0	2.09	2.1	2.03	2.15	0.06	Triangle_3
0	3	-2566	49.08	81.31	88.73	59.06	96.13	19.62	47.12	44.2	38.7	58.44	10.19	49.08	49.08	49.08	49.08	0	2.09	2.28	1.58	2.42	0.45	Circle_3
0	3	-2697	49.35	82.36	87.68	62.97	96.42	17.35	47.65	45.75	39.45	57.74	9.29	49.35	49.35	49.35	49.35	0	2.09	2.23	1.66	2.39	0.39	Circle_3
0	3	-5221.5	65.87	111.81	108.06	99.74	127.63	14.32	64.51	67.33	54.73	71.48	8.72	65.87	65.87	65.87	65.87	0	2.09	2.04	1.91	2.33	0.22	Square_4
0	3	-5233	66.16	112.1	107.87	99.81	128.63	14.87	64.68	67.81	54.42	71.8	9.11	66.16	66.16	66.16	66.16	0	2.09	2.04	1.9	2.34	0.23	Square_4
0	3	-2476	45.14	76.83	74.65	68.82	87.02	9.3	44.34	46	38.07	48.94	5.62	45.14	45.14	45.14	45.14	0	2.09	2.05	1.91	2.32	0.21	Triangle_4
