@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_4, Rectangle_5, Circle_5, Triangle_4, Triangle_5, Circle_3, Square_5, Square_4, Square_3, Triangle_3, Rectangle_3, Rectangle_4}

@data
1, 3, -2279, 48.96, 79.63, 93.94, 50.09, 94.85, 25.58, 46.45, 39.7, 38.98, 60.67, 12.32, 48.96, 48.96, 48.96, 48.96, 0, 2.09, 2.44, 1.38, 2.46, 0.62, Circle_3
1, 3, -1557, 57.66, 73.79, 65.8, 53.41, 102.18, 25.35, 41.69, 49.73, 20.88, 54.45, 18.17, 57.66, 57.66, 57.66, 57.66, 0, 2.09, 1.99, 1.54, 2.75, 0.61, Rectangle_3
1, 3, -1574, 57.36, 74.01, 67.23, 52.5, 102.31, 25.59, 41.89, 49.36, 21.3, 54.99, 18.05, 57.36, 57.36, 57.36, 57.36, 0, 2.09, 2.03, 1.51, 2.74, 0.62, Rectangle_3
1, 3, -3205, 50.17, 86.46, 86.13, 80.62, 92.62, 6, 49.91, 50.26, 46.26, 53.22, 3.49, 50.17, 50.17, 50.17, 50.17, 0, 2.09, 2.09, 1.98, 2.22, 0.12, Triangle_5
1, 3, -3127.5, 49.45, 85.32, 85.09, 80.16, 90.7, 5.27, 49.26, 49.51, 46.07, 52.18, 3.06, 49.45, 49.45, 49.45, 49.45, 0, 2.09, 2.09, 1.99, 2.2, 0.11, Triangle_5
1, 3, -1527.5, 57.78, 73.8, 69.23, 49.82, 102.36, 26.57, 41.85, 48.45, 21.27, 55.84, 18.2, 57.78, 57.78, 57.78, 57.78, 0, 2.09, 2.11, 1.42, 2.76, 0.67, Rectangle_3
1, 3, -1527, 57.29, 73.48, 68.41, 50.25, 101.79, 26.14, 41.65, 48.41, 21.21, 55.33, 18.04, 57.29, 57.29, 57.29, 57.29, 0, 2.09, 2.09, 1.44, 2.75, 0.66, Rectangle_3
1, 3, -1532, 56.38, 72.55, 58.82, 58.59, 100.24, 23.98, 40.89, 51.1, 20.38, 51.19, 17.77, 56.38, 56.38, 56.38, 56.38, 0, 2.09, 1.78, 1.77, 2.74, 0.56, Rectangle_3
1, 3, -1430, 57.03, 71.36, 60.42, 54.41, 99.25, 24.34, 40.15, 49.41, 19.35, 51.68, 18.05, 57.03, 57.03, 57.03, 57.03, 0, 2.09, 1.88, 1.65, 2.76, 0.59, Rectangle_3
1, 3, -2464, 69.12, 90.94, 77.49, 70.35, 124.96, 29.69, 51.38, 62.47, 26.44, 65.23, 21.64, 69.12, 69.12, 69.12, 69.12, 0, 2.09, 1.88, 1.68, 2.73, 0.56, Rectangle_4
